date,type,value
2020-03-16,SNWD,0.0
2020-03-17,SNOW,0.0
2020-03-17,TMAX,6.7
2020-03-17,TMIN,-2.1
2020-03-17,PRCP,0.0
2020-03-17,SNWD,0.0
2020-03-18,SNOW,0.0
2020-03-18,TMAX,7.2
2020-03-18,TMIN,2.8
2020-03-18,PRCP,0.0
2020-03-18,SNWD,0.0
2020-03-19,SNOW,0.0
2020-03-19,TMAX,4.4
2020-03-19,TMIN,0.0
2020-03-19,PRCP,12.2
2020-03-19,SNWD,0.0
2020-03-20,SNOW,0.0
2020-03-20,TMAX,1.1
2020-03-20,TMIN,-6.6
2020-03-20,PRCP,0.0
2020-03-20,SNWD,0.0
2020-03-21,SNOW,0.0
2020-03-21,TMAX,2.2
2020-03-21,TMIN,-6.6
2020-03-21,PRCP,0.0
2020-03-21,SNWD,0.0
2020-03-22,SNOW,0.5
2020-03-22,TMAX,6.1
2020-03-22,TMIN,-1.0
2020-03-22,PRCP,1.0
2020-03-22,SNWD,0.0
2020-03-23,SNOW,2.0
2020-03-23,TMAX,6.7
2020-03-23,TMIN,0.0
2020-03-23,PRCP,3.0
2020-03-23,SNWD,3.0
2020-03-24,SNOW,0.0
2020-03-24,TMAX,10.0
2020-03-24,TMIN,2.8
2020-03-24,PRCP,0.0
2020-03-24,SNWD,0.0
2020-03-25,SNOW,0.0
2020-03-25,TMAX,8.3
2020-03-25,TMIN,2.8
2020-03-25,PRCP,7.9
2020-03-25,SNWD,0.0
2020-03-26,SNOW,0.0
2020-03-26,TMAX,10.6
2020-03-26,TMIN,-1.6
2020-03-26,PRCP,0.0
2020-03-26,SNWD,0.0
2020-03-27,SNOW,0.0
2020-03-27,TMAX,15.6
2020-03-27,TMIN,2.8
2020-03-27,PRCP,0.8
2020-03-27,SNWD,0.0
2020-03-28,SNOW,0.0
2020-03-28,TMAX,8.9
2020-03-28,TMIN,3.3
2020-03-28,PRCP,27.2
2020-03-28,SNWD,0.0
2020-03-29,SNOW,0.0
2020-03-29,TMAX,9.4
2020-03-29,TMIN,0.6
2020-03-29,PRCP,5.6
2020-03-29,SNWD,0.0
2020-03-30,SNOW,0.0
2020-03-30,TMAX,15.6
2020-03-30,TMIN,-1.0
2020-03-30,PRCP,0.0
2020-03-30,SNWD,0.0
2020-03-31,SNOW,0.0
2020-03-31,TMAX,12.2
2020-03-31,TMIN,1.1
2020-03-31,PRCP,0.0
2020-03-31,SNWD,0.0
2020-04-01,SNOW,0.0
2020-04-01,TMAX,12.8
2020-04-01,TMIN,1.1
2020-04-01,PRCP,0.0
2020-04-01,SNWD,0.0
2020-04-02,SNOW,0.0
2020-04-02,TMAX,16.1
2020-04-02,TMIN,4.4
2020-04-02,PRCP,1.8
2020-04-02,SNWD,0.0
2020-04-03,SNOW,0.0
2020-04-03,TMAX,4.4
2020-04-03,TMIN,-3.8
2020-04-03,PRCP,2.0
2020-04-03,SNWD,0.0
2020-04-04,SNOW,0.0
2020-04-04,TMAX,7.2
2020-04-04,TMIN,-7.1
2020-04-04,PRCP,0.0
2020-04-04,SNWD,0.0
2020-04-05,SNOW,0.0
2020-04-05,TMAX,13.3
2020-04-05,TMIN,-1.6
2020-04-05,PRCP,0.0
2020-04-05,SNWD,0.0
2020-04-06,SNOW,0.0
2020-04-06,TMAX,15.6
2020-04-06,TMIN,6.1
2020-04-06,PRCP,0.0
2020-04-06,SNWD,0.0
2020-04-07,SNOW,0.0
2020-04-07,TMAX,21.1
2020-04-07,TMIN,9.4
2020-04-07,PRCP,0.8
2020-04-07,SNWD,0.0
2020-04-08,SNOW,0.0
2020-04-08,TMAX,13.3
2020-04-08,TMIN,2.2
2020-04-08,PRCP,0.0
2020-04-08,SNWD,0.0
2020-04-09,SNOW,0.0
2020-04-09,TMAX,5.6
2020-04-09,TMIN,-1.0
2020-04-09,PRCP,0.8
2020-04-09,SNWD,0.0
2020-04-10,SNOW,0.0
2020-04-10,TMAX,9.4
2020-04-10,TMIN,-2.7
2020-04-10,PRCP,0.0
2020-04-10,SNWD,0.0
2020-04-11,SNOW,0.0
2020-04-11,TMAX,16.1
2020-04-11,TMIN,1.1
2020-04-11,PRCP,0.0
2020-04-11,SNWD,0.0
2020-04-12,SNOW,16.8
2020-04-12,TMAX,6.7
2020-04-12,TMIN,-1.6
2020-04-12,PRCP,15.2
2020-04-12,SNWD,0.0
2020-04-13,SNOW,0.5
2020-04-13,TMAX,2.8
2020-04-13,TMIN,-4.9
2020-04-13,PRCP,0.3
2020-04-13,SNWD,13.0
2020-04-14,SNOW,1.3
2020-04-14,TMAX,-1.0
2020-04-14,TMIN,-6.0
2020-04-14,PRCP,1.0
2020-04-14,SNWD,5.0
2020-04-15,SNOW,0.0
2020-04-15,TMAX,1.7
2020-04-15,TMIN,-7.1
2020-04-15,PRCP,0.0
2020-04-15,SNWD,0.0
2020-04-16,SNOW,0.0
2020-04-16,TMAX,8.9
2020-04-16,TMIN,-4.3
2020-04-16,PRCP,0.0
2020-04-16,SNWD,0.0
2020-04-17,SNOW,0.0
2020-04-17,TMAX,9.4
2020-04-17,TMIN,-1.6
2020-04-17,PRCP,0.0
2020-04-17,SNWD,0.0
2020-04-18,SNOW,0.0
2020-04-18,TMAX,19.4
2020-04-18,TMIN,3.9
2020-04-18,PRCP,0.0
2020-04-18,SNWD,0.0
2020-04-19,SNOW,0.0
2020-04-19,TMAX,10.0
2020-04-19,TMIN,2.2
2020-04-19,PRCP,0.0
2020-04-19,SNWD,0.0
2020-04-20,SNOW,0.0
2020-04-20,TMAX,15.6
2020-04-20,TMIN,2.2
2020-04-20,PRCP,0.0
2020-04-20,SNWD,0.0
2020-04-21,SNOW,0.0
2020-04-21,TMAX,10.0
2020-04-21,TMIN,-1.6
2020-04-21,PRCP,0.0
2020-04-21,SNWD,0.0
2020-04-22,SNOW,0.0
2020-04-22,TMAX,19.4
2020-04-22,TMIN,6.1
2020-04-22,PRCP,0.0
2020-04-22,SNWD,0.0
2020-04-23,SNOW,0.0
2020-04-23,TMAX,15.0
2020-04-23,TMIN,2.8
2020-04-23,PRCP,0.0
2020-04-23,SNWD,0.0
2020-04-24,SNOW,0.0
2020-04-24,TMAX,18.9
2020-04-24,TMIN,6.1
2020-04-24,PRCP,0.0
2020-04-24,SNWD,0.0
2020-04-25,SNOW,0.0
2020-04-25,TMAX,21.7
2020-04-25,TMIN,5.6
2020-04-25,PRCP,0.0
2020-04-25,SNWD,0.0
2020-04-26,SNOW,0.0
2020-04-26,TMAX,20.0
2020-04-26,TMIN,7.2
2020-04-26,PRCP,1.8
2020-04-26,SNWD,0.0
2020-04-27,SNOW,0.0
2020-04-27,TMAX,23.3
2020-04-27,TMIN,11.1
2020-04-27,PRCP,1.0
2020-04-27,SNWD,0.0
2020-04-28,SNOW,0.0
2020-04-28,TMAX,16.7
2020-04-28,TMIN,7.8
2020-04-28,PRCP,21.1
2020-04-28,SNWD,0.0
2020-04-29,SNOW,0.0
2020-04-29,TMAX,16.7
2020-04-29,TMIN,5.6
2020-04-29,PRCP,0.0
2020-04-29,SNWD,0.0
2020-04-30,SNOW,0.0
2020-04-30,TMAX,20.0
2020-04-30,TMIN,6.7
2020-04-30,PRCP,0.0
2020-04-30,SNWD,0.0
2020-05-01,SNOW,0.0
2020-05-01,TMAX,25.6
2020-05-01,TMIN,11.7
2020-05-01,PRCP,0.0
2020-05-01,SNWD,0.0
2020-05-02,SNOW,0.0
2020-05-02,TMAX,23.9
2020-05-02,TMIN,12.2
2020-05-02,PRCP,0.0
2020-05-02,SNWD,0.0
2020-05-03,SNOW,0.0
2020-05-03,TMAX,19.4
2020-05-03,TMIN,7.8
2020-05-03,PRCP,0.0
2020-05-03,SNWD,0.0
2020-05-04,SNOW,0.0
2020-05-04,TMAX,15.6
2020-05-04,TMIN,4.4
2020-05-04,PRCP,0.0
2020-05-04,SNWD,0.0
2020-05-05,SNOW,0.0
2020-05-05,TMAX,15.0
2020-05-05,TMIN,8.3
2020-05-05,PRCP,0.0
2020-05-05,SNWD,0.0
2020-05-06,SNOW,0.0
2020-05-06,TMAX,18.9
2020-05-06,TMIN,8.9
2020-05-06,PRCP,0.0
2020-05-06,SNWD,0.0
2020-05-07,SNOW,0.0
2020-05-07,TMAX,15.6
2020-05-07,TMIN,6.7
2020-05-07,PRCP,0.0
2020-05-07,SNWD,0.0
2020-05-08,SNOW,0.0
2020-05-08,TMAX,9.4
2020-05-08,TMIN,1.7
2020-05-08,PRCP,0.0
2020-05-08,SNWD,0.0
2020-05-09,SNOW,0.0
2020-05-09,TMAX,15.6
2020-05-09,TMIN,1.1
2020-05-09,PRCP,3.8
2020-05-09,SNWD,0.0
